day0_rep1,-737148.311093,-18656.713017,164211.902953,-33261.785696,54946.400656,7871.861704,784.172553,31876.874747,-4937.016902,-4744.821022,6040.506240,-3920.740931,3004.088931,1612.068618,610.865604,4500.404589,-7046.115356,8310.632220,-794.297985,-56.167588,0.722992593793
day0_rep2,-610792.006040,16609.783319,199709.494241,-89598.216958,120565.534995,498.494054,-19674.493630,-69060.977511,2342.168746,-9458.479200,-7190.017438,5034.733182,-2607.933300,-2053.796616,-784.290393,-1357.891668,-158.318274,-61.520719,600.767866,-56.187573,0.15784232869
day0_rep3,-488586.415635,52929.031986,316000.517086,-53230.065376,70851.251976,-8567.415650,-20068.565625,50774.313129,6061.047944,13496.594898,1498.410706,-1174.479375,-181.941498,454.776844,-54.306209,-2066.358169,5476.313869,-5991.042680,132.919730,-56.177190,0.0668894499286
day1_rep1,43477.187669,-227191.839947,-47293.137485,-114570.399171,-47116.407494,-68851.105400,8901.952546,-16998.450331,-7802.842347,24723.708897,9035.338573,8603.342138,766.374789,-7537.889113,-276.391395,1619.719693,-961.155613,1162.000973,2856.683125,-56.190931,0.0288742716387
day1_rep2,-3686.989277,-224761.330510,-49941.909162,-97741.102365,-55655.427169,-75025.195527,13067.766550,17968.705516,5354.105501,-10794.761859,-8969.364515,1950.034215,-9031.038746,6604.454940,9192.101250,82.796003,-2995.557289,-1654.315402,-659.522864,-56.180719,0.01226251159
day1_rep3,-73666.595023,-224200.765248,-74298.715225,-106977.293973,-40117.226752,-64244.256754,15063.592514,-8657.934206,5636.551293,-12630.127015,2208.061661,-11915.147273,8251.787367,1706.968220,-8648.386072,-2499.727307,4187.066184,428.825646,-2480.977919,-56.174035,0.00461307210514
day2_rep1,-641145.016612,15274.774495,-139174.503939,68520.486411,-18383.836845,38219.619416,33612.824021,-18039.227122,10991.729158,16165.697789,3169.660340,-1195.275350,-2215.580076,-254.060428,3788.145359,-5118.401443,-689.948630,421.003496,-8501.476360,-56.182654,0.00362699543837
day2_rep2,-639112.067632,6246.314664,-143589.880529,65832.305786,-28452.799694,22350.972869,21656.970541,-5023.836193,7037.462216,2529.689014,-6115.717377,-546.292526,3751.571240,-255.218920,-3068.092558,12676.544217,-1202.499648,-5501.976448,545.926223,-56.155698,0.00157543600203
day2_rep3,-624921.003880,18922.676836,-140255.205825,84466.422078,-31130.861472,27286.895338,32753.754429,9839.152875,20410.987322,-4006.501233,-275.230956,2534.601251,5.731237,403.573754,351.838216,-5257.608821,3105.883657,3408.359047,8467.989597,-56.192811,0.000411867009902
day4_rep1,315651.047731,252014.788053,-233254.874050,-21079.236350,43742.557426,-9067.837836,-59445.579476,18164.056954,6805.457163,5722.221393,-4187.126890,1001.597257,-3190.975857,142.870734,-8052.757766,-4434.023639,-8695.214452,-1586.745833,359.077199,-56.194749,0.000313703723169
